;kW
2015-01-01 00:00;145
2015-01-01 00:30;141
2015-01-01 01:00;146
2015-01-01 01:30;147
2015-01-01 02:00;142
2015-01-01 02:30;143
2015-01-01 03:00;149
2015-01-01 03:30;146
2015-01-01 04:00;143
2015-01-01 04:30;142
2015-01-01 05:00;144
2015-01-01 05:30;138
2015-01-01 06:00;122
2015-01-01 06:30;126
2015-01-01 07:00;122
2015-01-01 07:30;125
2015-01-01 08:00;125
2015-01-01 08:30;127
2015-01-01 09:00;128
2015-01-01 09:30;131
2015-01-01 10:00;143
2015-01-01 10:30;140
2015-01-01 11:00;131
2015-01-01 11:30;126
2015-01-01 12:00;128
2015-01-01 12:30;138
2015-01-01 13:00;146
2015-01-01 13:30;146
2015-01-01 14:00;153
2015-01-01 14:30;150
2015-01-01 15:00;152
2015-01-01 15:30;156
2015-01-01 16:00;152
2015-01-01 16:30;152
2015-01-01 17:00;156
2015-01-01 17:30;149
2015-01-01 18:00;151
2015-01-01 18:30;144
2015-01-01 19:00;137
2015-01-01 19:30;148
2015-01-01 20:00;148
2015-01-01 20:30;141
2015-01-01 21:00;142
2015-01-01 21:30;145
2015-01-01 22:00;144
2015-01-01 22:30;138
2015-01-01 23:00;138
2015-01-01 23:30;138
2015-01-02 00:00;142
2015-01-02 00:30;137
2015-01-02 01:00;141
2015-01-02 01:30;145
2015-01-02 02:00;139
2015-01-02 02:30;141
2015-01-02 03:00;139
2015-01-02 03:30;141
2015-01-02 04:00;148
2015-01-02 04:30;141
2015-01-02 05:00;145
2015-01-02 05:30;145
2015-01-02 06:00;136
2015-01-02 06:30;126
2015-01-02 07:00;129
2015-01-02 07:30;130
2015-01-02 08:00;128
2015-01-02 08:30;129
2015-01-02 09:00;126
2015-01-02 09:30;128
2015-01-02 10:00;136
2015-01-02 10:30;132
2015-01-02 11:00;135
2015-01-02 11:30;140
2015-01-02 12:00;141
2015-01-02 12:30;145
2015-01-02 13:00;147
2015-01-02 13:30;143
2015-01-02 14:00;158
2015-01-02 14:30;151
2015-01-02 15:00;151
2015-01-02 15:30;156
2015-01-02 16:00;154
2015-01-02 16:30;151
2015-01-02 17:00;154
2015-01-02 17:30;153
2015-01-02 18:00;151
2015-01-02 18:30;145
2015-01-02 19:00;145
2015-01-02 19:30;153
2015-01-02 20:00;162
2015-01-02 20:30;151
2015-01-02 21:00;150
2015-01-02 21:30;155
2015-01-02 22:00;147
2015-01-02 22:30;149
2015-01-02 23:00;137
2015-01-02 23:30;136
2015-01-03 00:00;135
2015-01-03 00:30;132
2015-01-03 01:00;143
2015-01-03 01:30;139
2015-01-03 02:00;139
2015-01-03 02:30;143
2015-01-03 03:00;139
2015-01-03 03:30;142
2015-01-03 04:00;144
2015-01-03 04:30;136
2015-01-03 05:00;136
2015-01-03 05:30;129
2015-01-03 06:00;117
2015-01-03 06:30;121
2015-01-03 07:00;125
2015-01-03 07:30;129
2015-01-03 08:00;140
2015-01-03 08:30;141
2015-01-03 09:00;144
2015-01-03 09:30;150
2015-01-03 10:00;153
2015-01-03 10:30;153
2015-01-03 11:00;151
2015-01-03 11:30;157
2015-01-03 12:00;157
2015-01-03 12:30;156
2015-01-03 13:00;155
2015-01-03 13:30;162
2015-01-03 14:00;160
2015-01-03 14:30;151
2015-01-03 15:00;137
2015-01-03 15:30;142
2015-01-03 16:00;134
2015-01-03 16:30;124
2015-01-03 17:00;131
2015-01-03 17:30;129
2015-01-03 18:00;127
2015-01-03 18:30;127
2015-01-03 19:00;125
2015-01-03 19:30;154
2015-01-03 20:00;148
2015-01-03 20:30;139
2015-01-03 21:00;143
2015-01-03 21:30;149
2015-01-03 22:00;144
2015-01-03 22:30;141
2015-01-03 23:00;140
2015-01-03 23:30;142
2015-01-04 00:00;142
2015-01-04 00:30;136
2015-01-04 01:00;136
2015-01-04 01:30;139
2015-01-04 02:00;133
2015-01-04 02:30;139
2015-01-04 03:00;136
2015-01-04 03:30;139
2015-01-04 04:00;133
2015-01-04 04:30;136
2015-01-04 05:00;134
2015-01-04 05:30;128
2015-01-04 06:00;125
2015-01-04 06:30;122
2015-01-04 07:00;119
2015-01-04 07:30;122
2015-01-04 08:00;130
2015-01-04 08:30;132
2015-01-04 09:00;139
2015-01-04 09:30;148
2015-01-04 10:00;149
2015-01-04 10:30;147
2015-01-04 11:00;153
2015-01-04 11:30;157
2015-01-04 12:00;150
2015-01-04 12:30;148
2015-01-04 13:00;150
2015-01-04 13:30;152
2015-01-04 14:00;157
2015-01-04 14:30;161
2015-01-04 15:00;153
2015-01-04 15:30;153
2015-01-04 16:00;150
2015-01-04 16:30;148
2015-01-04 17:00;144
2015-01-04 17:30;152
2015-01-04 18:00;155
2015-01-04 18:30;148
